,Date,ArticleNumber,LinkText,Tag,Link,Clicks,Month,Day,Year,Week,Weekday
70,2020-07-24,1,here,10,https://www.businesswire.com/news/home/20200722005805/en/Air-Liquide-Invests-World-Scale-Oxygen-Production-Plant,7.0,7,24,2020,30,4
71,2020-07-24,2,Abu Dhabi National Oil Company,11,https://en.wikipedia.org/wiki/Abu_Dhabi_National_Oil_Company,0.0,7,24,2020,30,4
72,2020-07-24,2,previously known as Abu Dhabi Development Holding Company,12,https://www.thenational.ae/business/economy/addh-expands-and-rebrands-as-adq-1.996914,1.0,7,24,2020,30,4
73,2020-07-24,2,Ruwais Derivatives Park,13,https://www.albawaba.com/business/pr/adnoc-announces-45-billion-investment-plan-become-leading-global-downstream-player-11310,1.0,7,24,2020,30,4
74,2020-07-24,2,here,14,https://www.saudigazette.com.sa/article/595822/BUSINESS/ADNOC-ADQ-form-joint-venture-to-catalyze-UAEs-chemicals-sector,1.0,7,24,2020,30,4
75,2020-07-27,0,Tony Webster,3,https://tonywebster.com,6.0,7,27,2020,31,0
76,2020-07-27,0,earnings report,4,https://s23.q4cdn.com/981382065/files/doc_financials/2020/q2/Dow_2Q20_Earnings_News_Release_FINAL.pdf,6.0,7,27,2020,31,0
77,2020-07-27,0,mentioned a couple of weeks ago,5,https://thecolumn.co/daily/07072020,10.0,7,27,2020,31,0
78,2020-07-27,0,eliminating 5%,6,https://www.houstonchronicle.com/business/energy/article/BASF-to-Cut-6-000-Jobs-to-Drive-Down-Costs-Amid-14055442.php,10.0,7,27,2020,31,0
79,2020-07-27,0,just cut 20%,7,https://abc13.com/oil-gas-jobs-schlumberger-layoffs-covid-unemployment-houston/6332754/,6.0,7,27,2020,31,0
80,2020-07-27,0,rumors about ExxonMobil as well,8,https://www.forbes.com/sites/elanagross/2020/07/24/exxonmobil-reportedly-changed-its-employee-review-process-to-increase-performance-related-job-cuts/#7794f8b85942,6.0,7,27,2020,31,0
81,2020-07-27,0,here,9,https://www.reuters.com/article/us-dow-results/dow-to-cut-costs-to-blunt-pandemic-blow-posts-smaller-than-expected-loss-idUSKCN24O189,2.0,7,27,2020,31,0
82,2020-07-27,1,Donald Trung,10,https://commons.wikimedia.org/wiki/User:Donald_Trung,1.0,7,27,2020,31,0
83,2020-07-27,1,Solvay,11,https://en.wikipedia.org/wiki/Solvay_S.A.,2.0,7,27,2020,31,0
84,2020-07-27,1,purchased 15-years worth,12,https://www.solvay.com/en/press-release/solvay-acquire-all-renewable-energy-certificates-714-mw-us-solar-farm-15-years,1.0,7,27,2020,31,0
85,2020-07-27,1,Renewable Energy Certificates,13,https://www.vox.com/2015/11/9/9696820/renewable-energy-certificates,1.0,7,27,2020,31,0
86,2020-07-27,1,here,14,https://www.youtube.com/watch?time_continue=30&v=0KETWGMNrng&feature=emb_logo,1.0,7,27,2020,31,0
87,2020-07-27,1,say that their plant in Baton Rouge,15,https://www.solvay.com/sites/g/files/srpend221/files/2018-12/Press%20Release%20-%20Solvay%20to%20supply%20its%20Baton%20Rouge%20Plant%20with%20Solar%20Energy%20_0.pdf,6.0,7,27,2020,31,0
88,2020-07-27,1,here,16,https://www.solvay.com/en/article/solar-panels-linne-herten,3.0,7,27,2020,31,0
89,2020-07-27,2,Equinor,17,https://en.wikipedia.org/wiki/Equinor,2.0,7,27,2020,31,0
90,2020-07-27,2,short-term contracts,18,https://www.mondaq.com/oil-gas-electricity/822678/oil-and-gas-industry-short-term-contracts,1.0,7,27,2020,31,0
91,2020-07-27,2,told CNBC,19,https://www.cnbc.com/2020/07/23/coronavirus-and-oil-energy-majors-to-report-second-quarter-earnings.html,3.0,7,27,2020,31,0
92,2020-07-27,2,here,20,https://in.reuters.com/article/equinor-results/equinor-beats-earnings-forecasts-as-refinery-and-trading-shines-idINKCN24P0LG,7.0,7,27,2020,31,0
93,2020-07-28,0,Prax Group,3,https://prax.com,5.0,7,28,2020,31,1
94,2020-07-28,0,for quite a few reasons,4,https://www.refiningandpetrochemicalsme.com/article-18555-raising-profit-margins-through-refining-petrochemical-integration,8.0,7,28,2020,31,1
95,2020-07-28,0,here,5,https://www.businesswire.com/news/home/20200727005271/en/United-Kingdom-Total-Sells-Lindsey-Refinery,4.0,7,28,2020,31,1
96,2020-07-28,1,Meridian Energy Group,6,https://meridianenergygroupinc.com/about-us/,5.0,7,28,2020,31,1
97,2020-07-28,1,few refineries to be built since 1977,7,https://www.eia.gov/tools/faqs/faq.php?id=29&t=6,12.0,7,28,2020,31,1
98,2020-07-28,1,Bakken shale region,8,https://en.wikipedia.org/wiki/Bakken_Formation,9.0,7,28,2020,31,1
99,2020-07-28,1,here,9,https://www-forbes-com.cdn.ampproject.org/c/s/www.forbes.com/sites/davidblackmon/2020/07/25/first-new-us-oil-refinery-since-1977-targets-bakken-shale-crude/amp/,3.0,7,28,2020,31,1
100,2020-07-28,2,Sarah Stierch,10,https://commons.wikimedia.org/wiki/File:Impossible_Burger_-_Gott%27s_Roadside-_2018_-_Stierch.jpg,3.0,7,28,2020,31,1
101,2020-07-28,2,Novozymes,11,https://en.wikipedia.org/wiki/Novozymes,7.0,7,28,2020,31,1
102,2020-07-28,2,hydrolyzed vegetable protein,12,https://en.wikipedia.org/wiki/Hydrolyzed_vegetable_protein#Process,7.0,7,28,2020,31,1
103,2020-07-28,2,monosodium glutamate (MSG) it contains,13,http://myhealthmaven.com/what-is-msg-and-hvp/,7.0,7,28,2020,31,1
104,2020-07-28,2,UBS predicts,14,https://markets.businessinsider.com/news/stocks/beyond-meat-ubs-plant-based-meat-market-85-billion-2030-2019-7-1028367962#,10.0,7,28,2020,31,1
105,2020-07-28,2,yet another example,15,https://thecolumn.co/dail/07202020,9.0,7,28,2020,31,1
106,2020-07-28,2,here,16,https://www.novozymes.com/en/news/news-archive/2020/6/new-biological-solution-brings-the-natural-umami-flavor-from-plant-proteins,8.0,7,28,2020,31,1
107,2020-07-29,0,Gerd Fahrenhorst,3,"https://commons.wikimedia.org/wiki/File:Celle,_Baker_Hughes_1438.jpg",4.0,7,29,2020,31,2
108,2020-07-29,0,CC BY,4,https://creativecommons.org/licenses/by/3.0,3.0,7,29,2020,31,2
109,2020-07-29,0,CC BY,17,https://creativecommons.org/licenses/by/3.0,3.0,7,29,2020,31,2
110,2020-07-29,2,CC BY,4,https://creativecommons.org/licenses/by/3.0,3.0,7,29,2020,31,2
111,2020-07-29,2,CC BY,17,https://creativecommons.org/licenses/by/3.0,3.0,7,29,2020,31,2
112,2020-07-29,0,SK Capital,5,https://skcapitalpartners.com/about-us/,2.0,7,29,2020,31,2
113,2020-07-29,0,Baker Hughes's specialty polymers business,6,https://www.bhge.com/industrialspecialty-chemicalsspecialty-polymers,2.0,7,29,2020,31,2
114,2020-07-29,0,Baker Hughes,7,https://en.wikipedia.org/wiki/Baker_Hughes,4.0,7,29,2020,31,2
115,2020-07-29,0,here,8,https://skcapitalpartners.com/portfolio/,11.0,7,29,2020,31,2
116,2020-07-29,0,new platform for organic growth as well as M&A activity,9,https://www.icis.com/explore/resources/news/2020/07/27/10534292/sk-capital-to-build-new-platforms-with-baker-hughes-and-techmer-pm-deals,3.0,7,29,2020,31,2
117,2020-07-29,0,here,10,https://skcapitalpartners.com/sk-capital-announces-agreement-to-acquire-the-specialty-polymers-business-from-baker-hughes/,3.0,7,29,2020,31,2
118,2020-07-29,1,Famartin,11,"https://commons.wikimedia.org/wiki/File:2014-06-22_17_50_35_Newly_paved_segment_of_Alternate_U.S._Route_93_in_Elko_County,_Nevada.JPG",2.0,7,29,2020,31,2
119,2020-07-29,1,CC BY-SA,12,https://creativecommons.org/licenses/by-sa/3.0,2.0,7,29,2020,31,2
120,2020-07-29,1,Total,13,https://en.wikipedia.org/wiki/Total_S.A.,2.0,7,29,2020,31,2
121,2020-07-29,1,Indian Oil Corporation Ltd.,14,https://en.wikipedia.org/wiki/Indian_Oil_Corporation,3.0,7,29,2020,31,2
122,2020-07-29,1,here,15,https://www.total.com/media/news/communiques/total-and-indian-oil-form-joint-company-in-india-to-offer-high-quality,2.0,7,29,2020,31,2
123,2020-07-29,2,Michal Maňas,16,https://commons.wikimedia.org/wiki/File:Materials_recovery_facility.jpg,2.0,7,29,2020,31,2
124,2020-07-29,2,Maire Technimont,18,https://en.wikipedia.org/wiki/Maire_Tecnimont#Launch_of_the_Maire_Tecnimont_Group,1.0,7,29,2020,31,2
125,2020-07-29,2,NextChem,19,https://nextchem.it/who-we-are/about-us,5.0,7,29,2020,31,2
126,2020-07-29,2,LanzaTech,20,https://www.lanzatech.com/#section-about,4.0,7,29,2020,31,2
127,2020-07-29,2,syngas,21,https://en.wikipedia.org/wiki/Syngas,3.0,7,29,2020,31,2
128,2020-07-29,2,here,22,https://www.mairetecnimont.com/en/media/press-releases/nextchem-and-lanzatech-sign-agreement-promote-circular-ethanol-production-non-price-sensitive,11.0,7,29,2020,31,2
129,2020-07-30,0,Felix König,3,https://commons.wikimedia.org/wiki/File:Geb%C3%A4ude_BASF_Ludwigshafen.jpg,3.0,7,30,2020,31,3
130,2020-07-30,0,CC BY,4,https://creativecommons.org/licenses/by/3.0,2.0,7,30,2020,31,3
131,2020-07-30,0,BASF,5,https://en.wikipedia.org/wiki/BASF,3.0,7,30,2020,31,3
132,2020-07-30,0,Product Carbon Footprint,6,https://www.basf.com/us/en/who-we-are/sustainability/we-drive-sustainable-solutions/quantifying-sustainability/product-carbon-footprint.html,8.0,7,30,2020,31,3
133,2020-07-30,0,Customers of the chemicals industry,7,https://www.investopedia.com/ask/answers/042015/what-types-industries-are-main-consumers-products-chemicals-sector.asp,6.0,7,30,2020,31,3
134,2020-07-30,0,here,8,https://www.basf.com/global/en/media/news-releases/2020/07/p-20-260.html,6.0,7,30,2020,31,3
135,2020-07-30,1,Ssu,9,"https://commons.wikimedia.org/wiki/File:TechnipFMC_-_Philip_Pedersens_vei_7,_Lysaker.jpg",3.0,7,30,2020,31,3
136,2020-07-30,1,CC BY-SA,10,https://creativecommons.org/licenses/by-sa/4.0,2.0,7,30,2020,31,3
137,2020-07-30,1,CC BY-SA,16,https://creativecommons.org/licenses/by-sa/4.0,1.0,7,30,2020,31,3
138,2020-07-30,2,CC BY-SA,10,https://creativecommons.org/licenses/by-sa/4.0,2.0,7,30,2020,31,3
139,2020-07-30,2,CC BY-SA,16,https://creativecommons.org/licenses/by-sa/4.0,1.0,7,30,2020,31,3
140,2020-07-30,1,TechnipFMC,11,https://en.wikipedia.org/wiki/TechnipFMC,5.0,7,30,2020,31,3
